,countryname,language,study_language_names,bila_language_name_mapping,lang_responses,total_responses,percent,Selected,reason,possible_alternative_bila_language_name_mappings
0,Australia,ZH-S,Simplified Chinese,Mandarin Chinese,181,378,47.883597883597886,0, We will leave out Australia for now because it has only English and chinese. Perhaps we will use the chinese respobse for robustness testing,"Beijing Mandarin, Wu Chinese"
1,Brazil,PT-BR,Brazilian Portuguese,Brazilian Portuguese,306,325,94.15384615384616,1,Let's use Brazilian Portuguese for Brazil,Portuguese
2,Bulgaria,BG,Bulgarian,Bulgarian,269,276,97.46376811594203,1, Let's use Bulgarian for Bulgaria,
3,Canada,EN,English,,195,286,68.18181818181817,0,"Doesn't look good for Canada, we will drop them since they are primarily English ","Midland American English, Singlish, Devon, Sussex, Essex"
4,Chile,ES,Spanish,Spanish,469,493,95.131845841785,1, Let's use Spanish (General) for chile,"Latin American Spanish, Mexican Spanish"
5,China,ZH-S,Simplified Chinese,Mandarin Chinese,1988,2009,98.95470383275261,1, Let's use Simplified Chinese for china,"Beijing Mandarin, Wu Chinese"
6,Colombia,ES,Spanish,Spanish,122,237,51.47679324894515,1,Let's use Spanish (General) for Colombia  ,"Latin American Spanish, Mexican Spanish"
7,Croatia,HR,Croatian,Serbian-Croatian-Bosnian,524,528,99.24242424242425,1, Let's use croatian for croatia,
8,Curacao,NL,Dutch,Dutch,180,235,76.59574468085107,1, Let's use Dutch for Curacao,Western Flemish
9,Denmark,DA,Danish,Danish,148,233,63.519313304721024,1, Let's use Danish for Denmark,
10,Egypt,AR,Arabic,Arabic,817,824,99.1504854368932,1,  Let's use Arabic for Eygpt,"Egyptian Arabic, Levantine Arabic, Moroccan Arabic, Gulf Arabic, Sanaani Arabic, Yemeni Arabic"
11,Finland,FI,Finnish,Finnish,260,289,89.96539792387543,1, Let's use Finnish for Finland,Estonian
12,France,FR,French,French,257,363,70.79889807162535,1, Let's use french for france,"Old French, Cajun French, Louisiana Creole French"
13,Georgia,KAT,Georgian,Georgian,234,236,99.15254237288136,1,  Let's use Georgian for Georgia,
14,Germany,DE,German,German,291,567,51.32275132275132,1, Let's use German for Germany,"Moselle Franconian, Plautdietsch, Pennsylvania German"
