country,countryname,StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,home,gathering,distance,hands,help_covid,donate_covid,volunteer_covid,help,donate,volunteer,admiration,calm,compassion,determination,moved,gratitude,hope,love,relief,pleasure,anger,anxiety,boredom,confusion,disgust,fear,frustration,loneliness,regret,sadness,ERQ1_rumination,ERQ2_reappraisal,ERQ3_suppression,ERQ4_socialsharing,ERQ5_distraction,ERQ6_acceptance,support,connected,phy_healthy,mentally_healthy,stressed,tired,depressed,res_1,res_2,euda_1,euda_2,swl,sympathy,concerned,overwhelmed,distressed,self_vulnerable,country_vulnerable,age,education,gender,ladder,employment,losejob,covidsymptom,language,datasource,ISO3,longstring,na_count
10,Australia,04/05/2020 19:34,04/05/2020 19:40,0,100,337,1,04/05/2020 19:40,8,9,7,48,0,1,1,0,0,0,5,3,3,5,4,4,5,3,1,4,3,1,2,2,2,1,2,1,1,1,2,3,4,3,3,2,3,3,100,97,49,45,23,4,4,4,5,9,3,3,3,2,4,4,27,20,1,5,4,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,04/05/2020 20:26,04/05/2020 20:35,0,100,530,1,04/05/2020 20:35,9,2,1,65,0,0,0,0,0,0,2,3,3,0,4,2,4,3,1,2,2,2,3,1,3,3,1,1,2,2,2,2,1,3,1,5,2,4,70,66,29,35,44,3,4,3,3,7,6,5,4,5,0,1,57,15,2,7,3,NA,NA,ZH-S,snowball,AUS,3,0
10,Australia,05/05/2020 21:54,05/05/2020 22:07,0,100,793,1,05/05/2020 22:07,29,19,50,100,0,0,0,1,0,0,3,3,0,0,0,3,6,6,6,5,1,0,0,0,2,0,0,0,0,0,0,1,6,6,6,3,3,6,84,84,17,9,0,5,5,5,3,5,4,4,3,1,0,6,32,16,1,4,1,NA,0,ZH-S,snowball,AUS,5,0
10,Australia,04/05/2020 20:29,04/05/2020 20:34,0,100,285,1,04/05/2020 20:34,73,100,99,100,0,0,0,1,0,0,6,1,4,4,4,4,5,4,1,0,4,6,6,4,4,4,3,6,1,2,3,5,4,2,4,4,4,4,81,69,100,100,71,6,6,6,6,7,4,5,4,4,6,8,23,16,2,5,4,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,19/04/2020 20:21,19/04/2020 20:27,0,100,367,1,19/04/2020 20:27,100,100,100,45,0,0,0,1,0,0,0,6,6,6,2,0,4,0,0,0,3,5,4,5,2,4,2,1,0,3,0,1,6,2,6,6,5,3,99,67,35,36,39,6,6,3,6,5,6,6,3,3,0,10,NA,25,1,5,1,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,22/04/2020 09:46,22/04/2020 09:48,0,100,150,1,22/04/2020 09:49,45,49,55,54,1,1,1,1,1,1,5,3,3,4,3,4,5,3,4,4,3,2,2,1,6,2,3,3,5,4,5,5,5,5,5,5,5,6,58,57,76,88,98,6,6,6,6,7,5,6,5,5,7,7,21,NA,NA,10,5,NA,NA,VI,snowball,AUS,2,0
10,Australia,04/05/2020 02:09,04/05/2020 02:14,0,100,314,1,04/05/2020 02:14,95,100,100,100,1,0,1,1,0,0,3,4,5,4,4,6,4,4,1,2,5,3,3,3,4,2,5,1,2,3,5,5,4,5,1,4,4,4,82,61,83,100,55,4,4,4,4,7,5,4,3,5,7,4,21,15,2,6,4,NA,0,EN,snowball,AUS,3,0
10,Australia,05/05/2020 22:45,05/05/2020 23:10,0,100,1505,1,05/05/2020 23:10,93,100,93,94,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,99,4,4,4,5,8,0,5,0,5,0,0,49,12,2,5,2,NA,0,ZH-S,snowball,AUS,4,0
10,Australia,05/05/2020 22:05,05/05/2020 22:09,0,71,212,0,12/05/2020 22:09,100,95,72,82,0,0,0,0,0,0,2,4,3,2,4,4,4,4,3,3,1,6,2,6,1,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ZH-S,snowball,AUS,4,0
10,Australia,20/04/2020 15:31,20/04/2020 15:40,0,100,540,1,20/04/2020 15:40,64,1,100,100,0,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,4,3,0,6,0,1,3,0,0,0,0,0,3,0,4,6,0,3,95,91,1,2,1,3,6,6,6,10,3,3,6,0,10,10,64,17,1,8,1,NA,0,SR,snowball,AUS,3,0
10,Australia,07/05/2020 14:20,07/05/2020 14:30,0,100,654,1,07/05/2020 14:31,100,100,100,100,0,0,0,0,0,0,6,4,5,6,0,3,4,6,0,4,1,4,4,6,0,4,2,4,0,4,0,3,3,3,6,6,3,6,71,100,50,6,2,6,6,6,4,9,6,6,6,4,6,10,52,18,2,6,2,NA,0,ZH-S,snowball,AUS,2,0
10,Australia,03/05/2020 08:20,03/05/2020 08:31,0,95,674,0,10/05/2020 08:31,63,40,5,0,1,0,0,1,0,0,0,2,4,2,3,1,1,3,0,2,5,4,0,4,6,1,6,1,1,5,3,3,5,1,2,3,2,2,85,81,70,35,75,3,3,3,0,3,3,1,1,1,0,0,51,12,1,5,4,NA,0,EN,snowball,AUS,2,0
10,Australia,04/05/2020 04:47,04/05/2020 04:54,0,100,444,1,04/05/2020 04:54,100,100,95,86,0,1,0,0,0,0,0,1,4,0,2,1,4,2,1,2,4,6,5,2,1,2,6,5,0,4,NA,4,6,1,3,1,0,0,62,54,84,81,95,NA,2,2,3,6,5,NA,0,2,4,0,55,18,1,5,1,NA,0,ZH-S,snowball,AUS,1,0
10,Australia,05/05/2020 23:07,05/05/2020 23:12,0,100,253,1,05/05/2020 23:12,100,100,100,100,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,6,6,6,6,6,3,3,40,45,67,96,100,2,2,3,3,0,0,0,0,0,0,0,26,16,1,10,5,0,0,ZH-S,snowball,AUS,10,0
10,Australia,02/05/2020 21:29,02/05/2020 23:48,0,100,8341,1,02/05/2020 23:48,55,81,100,100,0,0,0,0,0,0,6,3,0,4,6,0,6,6,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,6,6,6,3,5,100,100,29,62,0,3,3,5,5,10,6,3,0,0,0,0,24,16,1,7,1,NA,0,ZH-S,snowball,AUS,7,0
10,Australia,04/05/2020 20:10,04/05/2020 20:31,0,100,1231,1,04/05/2020 20:31,1,22,51,100,0,0,0,1,0,0,0,3,1,3,0,1,6,6,0,5,1,2,2,0,0,0,1,1,2,1,0,0,3,0,1,1,1,3,100,100,10,10,2,6,6,6,6,8,6,6,0,0,0,0,30,23,1,6,4,NA,0,ZH-S,snowball,AUS,3,0
10,Australia,05/05/2020 23:48,05/05/2020 23:52,0,100,248,1,05/05/2020 23:52,80,85,97,97,0,0,0,1,0,0,5,5,6,5,5,6,6,6,5,0,0,NA,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,100,100,56,28,26,6,6,6,6,6,3,3,3,3,0,0,NA,18,1,6,1,NA,0,ZH-S,snowball,AUS,6,1
10,Australia,01/05/2020 16:56,01/05/2020 17:03,0,100,401,1,01/05/2020 17:03,79,90,81,92,0,0,0,1,0,0,6,4,3,4,4,5,3,5,5,1,1,2,0,2,4,2,0,0,0,0,2,3,5,2,4,3,4,3,61,72,74,64,9,3,4,3,5,8,6,4,4,4,10,8,31,18,2,8,2,NA,0,EN,snowball,AUS,4,0
10,Australia,04/05/2020 04:02,04/05/2020 04:16,0,100,852,1,04/05/2020 04:16,87,100,95,65,0,0,0,1,0,0,3,3,4,4,4,5,3,3,3,3,4,2,5,2,4,2,4,3,3,3,2,0,1,0,2,4,3,4,81,82,10,73,10,5,5,5,5,7,4,4,2,2,4,2,NA,18,2,6,5,1,0,ZH-T,snowball,AUS,4,0
10,Australia,03/05/2020 22:53,03/05/2020 22:58,0,100,299,1,03/05/2020 22:58,100,100,100,100,0,0,0,0,1,0,3,2,2,2,2,2,3,2,3,3,2,3,6,2,2,3,3,5,4,2,5,3,3,2,3,3,1,2,13,23,60,67,49,3,3,3,2,4,3,3,3,3,3,3,26,13,1,5,5,NA,1,EN,snowball,AUS,5,0
